date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-04-13 21:47:17,Allstocknews,,0,0,0,"$VNDA Vanda Announces Trial Date for Fanapt® Patent Cases From our Stock News Alerts App",,,,587733821518442496,https://twitter.com/Allstocknews/status/587733821518442496
2015-04-13 21:47:04,racheloduk,,0,0,0,"$VNDA - Vanda Announces Trial Date for Fanapt® Patent Cases http://uk.advfn.com/news/PRNUS/2015/article/66399168?xref=newsalerttweet&amp;adw=1126416",,,,587733767336419328,https://twitter.com/racheloduk/status/587733767336419328
2015-04-13 21:47:03,biotechsmith,,0,0,0,"$VNDA - Vanda Announces Trial Date for Fanapt® Patent Cases http://uk.advfn.com/news/PRNUS/2015/article/66399168?xref=newsalerttweet&amp;adw=1126416",,,,587733764958244865,https://twitter.com/biotechsmith/status/587733764958244865
2015-04-13 21:47:03,NASDAQODUK,,0,0,0,"$VNDA - Vanda Announces Trial Date for Fanapt® Patent Cases http://uk.advfn.com/news/PRNUS/2015/article/66399168?xref=newsalerttweet&amp;adw=1126416",,,,587733762773016578,https://twitter.com/NASDAQODUK/status/587733762773016578
2015-04-13 21:47:02,GapupSmith,,0,0,0,"$VNDA - Vanda Announces Trial Date for Fanapt® Patent Cases http://uk.advfn.com/news/PRNUS/2015/article/66399168?xref=newsalerttweet&amp;adw=1126416",,,,587733760210296833,https://twitter.com/GapupSmith/status/587733760210296833
2015-04-11 06:47:32,patesalo_e,,0,0,0,"Vanda Pharma receives US patent for Fanapt - http://pharmabiz.com http://paten.to/1FvE4Uc",,,,586782618777063424,https://twitter.com/patesalo_e/status/586782618777063424
2015-04-10 12:38:46,Briefingcom,,0,0,1,"$VNDA: Vanda Pharma announces listing of a new Fanapt patent in the FDA Orange Book http://bit.ly/1IyOraX",,,,586508618578599936,https://twitter.com/Briefingcom/status/586508618578599936
2015-04-10 12:05:05,jcommbiotech,,0,0,0,"RT @drugpatentwatch New patent for #Vanda Pharms #drug FANAPT http://bit.ly/1rYqUn7 via @DrugPatentWatch #pharma",,@DrugPatentWatch @DrugPatentWatch,#Vanda #drug #pharma,586500142754312193,https://twitter.com/jcommbiotech/status/586500142754312193
2015-04-10 07:18:07,brunomigueln,,0,1,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://dlvr.it/9Kh37K",,,,586427924745584640,https://twitter.com/brunomigueln/status/586427924745584640
2015-04-10 04:08:28,stock_irish,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://ow.ly/2XbicT",,,,586380199756898304,https://twitter.com/stock_irish/status/586380199756898304
2015-04-10 04:03:38,ez2trade,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://ow.ly/2XbfCW",,,,586378982896996353,https://twitter.com/ez2trade/status/586378982896996353
2015-04-10 04:01:48,Stock_shopper,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://ow.ly/2Xbf94",,,,586378522383425538,https://twitter.com/Stock_shopper/status/586378522383425538
2015-04-10 04:01:42,financialbuzz,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book: WASHINGTON, April 9, 2015 /PRNewswire/... http://bit.ly/1CoqmfI",,,,586378494034083840,https://twitter.com/financialbuzz/status/586378494034083840
2015-04-10 03:42:17,patesalo_e,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book - MarketWatch http://paten.to/1D14b1z",,,,586373610731778049,https://twitter.com/patesalo_e/status/586373610731778049
2015-04-09 16:15:15,DrugPatentWatch,,0,0,0,"New patent for #Vanda Pharms #drug FANAPT http://bit.ly/1rYqUn7 via @DrugPatentWatch #pharma",,@DrugPatentWatch,#Vanda #drug #pharma,586200711500795904,https://twitter.com/DrugPatentWatch/status/586200711500795904
2015-04-09 15:18:43,Briefingcom,,0,0,0,"$VNDA: Vanda Pharma announced that a Fanapt patent is now listed in the US FDA Orange Book http://bit.ly/1CYvw4K",,,,586186486573207554,https://twitter.com/Briefingcom/status/586186486573207554
2015-04-09 15:16:44,MemoirBook,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book: Prior to this newly listed '638 patent... http://bit.ly/1FmRq57",,,,586185987912409088,https://twitter.com/MemoirBook/status/586185987912409088
2015-04-09 14:27:04,PRNlegal,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book: WASHINGTON, April 9, 2015 /PRNewswire/... http://prn.to/1Po3KF7",,,,586173487242321920,https://twitter.com/PRNlegal/status/586173487242321920
2015-04-09 13:41:21,wlstcom,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book #biotech http://wlst.com http://finance.yahoo.com/news/vanda-announces-listing-fanapt-patent-131500447.html",,,#biotech,586161979968000001,https://twitter.com/wlstcom/status/586161979968000001
2015-04-09 13:30:25,truebluetribune,,0,0,0,"Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://goo.gl/fb/kacKJq",,,,586159228894732288,https://twitter.com/truebluetribune/status/586159228894732288
2015-04-09 13:18:29,Allstocknews,,0,0,0,"$VNDA Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book From our Stock News Alerts App",,,,586156226859425792,https://twitter.com/Allstocknews/status/586156226859425792
2015-04-09 13:17:08,racheloduk,,0,0,0,"$VNDA - Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://uk.advfn.com/news/PRNUS/2015/article/66305484?xref=newsalerttweet&amp;adw=1126416",,,,586155888425226240,https://twitter.com/racheloduk/status/586155888425226240
2015-04-09 13:17:08,biotechsmith,,0,0,0,"$VNDA - Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://uk.advfn.com/news/PRNUS/2015/article/66305484?xref=newsalerttweet&amp;adw=1126416",,,,586155886441279488,https://twitter.com/biotechsmith/status/586155886441279488
